author_username,text
yosi_shahbar,"מסכן...
השופט העליון חלאד כבוב 
נזקק להשלמת הכנסה..
הוא משמש כפרזנטור למשרד עורכי הדין שבמקרה שייך לבתו...
האם הוא ביקש רשות הממונים עליו לעסוק בעבודה נוספת?
האם הוא מצהיר על הכנסה נוספת?
וזאת בהנחה שהוא מקבל תשלום.
ומה הדין אם הוא לא מקבל תשלום?
האם בתו מקבלת שווה ערך לתשלום בשל… https://t.co/VjFCBdtIMC"
yosi_shahbar,"בוםםםם
בתגובה לאיומים על חיי טלי גוטליב, תוגברה האבטחה ליועמשית גלי בהרב מיארה.
בסך הכל הגיוני.
@TallyGotliv https://t.co/qu2r5AlBvk"
yosi_shahbar,"אייי
סליחה תקלה...

ערוצים פלסטינים מפרסמים תיעוד של נחיתת מצנח סיוע שלא נפתח (נר-א""ע) במערב העיר עזה. https://t.co/UalJNPmrHR"
yosi_shahbar,"אוייי 
כמה עצוב....
בן כספית מרייר על פירוק 
המחנה הממלכתי....
שמישהו ינגב לשטינקר את הדמעות. https://t.co/QF6TV1Pccp"
demokratya11,חברים השנה תהיו זהירים תוותרו על מה שלא חייבים  https://t.co/JQQEB9Por8
yosi_shahbar,"זוכרים?
זוכרים את הגברת עם החזיר?
ובכן...
חובבת החזיר היא מרצה לתקשורת באוניברסיטת תל אביב.
יענו...
מקבלת משכורת ממני.

תכירו את עדה רוטנברג - מתל אביב, לשעבר כעורכת גרפית בידיעות אחרונות וכיום מרצה באוניברסיטת תל אביב לתקשורת חזותית, זאת האישה שהציעה אתמול לבחור חרדי חזיר בתגובה… https://t.co/Nll0P0HNwj"
demokratya11,הידעתם ??? שתפו בכל הכח https://t.co/aq8ufHQwWF
yosi_shahbar,"@Anonymous_use34 בכל מקום בעולם על פני 
הגלובוס ...
לאישה יש תפקיד מכריע ליד 
האיש שמחזיק בשלטון.
גם בעולם העסקים.
זה הכי טבעי שיש.
זה גם בריא...
אין בזה שום פסול.
ב100 שנים האחרונות 
הנשים של נשיאי ארצות הברית היו מעורבות באופן 
מלא בשלטון וחלקן היו בפועל מנהיגות האומה האמריקאית בלי יוצא מהכלל."
yosi_shahbar,"בג''צ 
שוחט אותנו.
היה קשה להשיג את המסמך הזה אבל בסוף הוא הגיע ..אז לגבי ביבי והמזוודות תשכחו מה שלמדתם...
זה בג''ץ שאישר את בקשת אולמרט כראש הממשלה דאז ..כן לפני ביבי של 2009 https://t.co/YfBMMpYr9w"
demokratya11,חטיפת נשק בלובן ליד בית אריה  מאדם  מבוגר !!! תביאו לנבלות מדינה https://t.co/WhGmdqWreN
demokratya11,הסמולנים הבטיחו לפני הבחירות אם הימין מנצח הם עפים לצד אחד בלבד אבל החרדים 🤣🤣🤣🤣 https://t.co/qXvNnJN2mM
yosi_shahbar,"המהפכה בעיצומה...
בג''צ המרגל.
השופט יוסף אלרון 
עתיד להחליט האם לפרסם 
את שמו של המרגל בדרום 
וכן הוא עתיד לפרסם למי הוא העביר את החומרים שהוא אסף...
וזאת על-פי בקשתו של אלמוג כהן המבורך.

בתמונה: השופט אלרון. https://t.co/SU1uebIlPn"
demokratya11,@anat_kamm אשכרה הסמול הביאו את אסון אוסלו והפכו את המחבלים לנורווגים
yosi_shahbar,"נחשף.
תתרגלו...
לפניכם איש שמאל קיצוני פרוגרסיבי שמכוון לעמוד בראש 
מטורללי קפלן  כולל שוברים שתיקה....
תתרגלו 
למדינה פלשתינית.
לחזרה לגבולות 67.
לירושלים מחולקת כולל האגן הקדוש.
לפרוזדור בתוך ישראל בין איו""ש 
לעזה...
לפינוי כ200 אלף מתיישבים באיו''ש.
לחילופי שטחים בתמורת להשארת… https://t.co/1d5EqzOmlS"
yosi_shahbar,"נחשף.
נחשף השקרן המתועב. https://t.co/DCnVebRCmK"
demokratya11,חמאס בלחץ מפעיל את החטופים שצמרת צהל לא מנעה את חטיפתם https://t.co/1NL3lx7nPj
yosi_shahbar,"רק טלפון 1
היחיד שעשה טלפון היה נתניהו.
לא הרמטכ""ל. 
לא ראש השב""כ.
לא אלוף הפיקוד. 
לא מפקד חיל האוויר.
לא ראש אגף מבצעים.
רק נתניהו ... https://t.co/UiFyIjmFO4"
yosi_shahbar,"צמרמורת.
אמיתי ארגמן כותב:
 עליתי על מטען. הדבר שכל לוחם פוחד ממנו, הרגע הזה שמשנה את כל החיים שלך. 
אני עד עכשיו לא זוכר מה בדיוק קרה בבית הזה, אבל כשהתעוררתי כמה שניות לאחר שהופעל המטען ידעתי שאני גוסס.  סנטימטר לפה סנטימטר לשם והתוצאה הייתה אחרת לגמרי. ברור לי שניצלתי כחוט… https://t.co/Z3tHVl82RK"
yosi_shahbar,"בגידה.
המעורבים צריכים לעמוד לדין כך אומר אל""מ רונן כהן סגן ראש חטיבת המחקר באמ""ן. https://t.co/QLdVdl7Aa1"
demokratya11,אתה לא אתנו שחרר https://t.co/aKsMhlmuBe
demokratya11,"*עד חולת נפש אלקקק פרופ' נדירה שלהוב-קיבורקיאן מהאונ' העברית: את הציונות  צריך למגר. היה אונס ב-7 לאוקטובר? ""ישראל תמיד משקרת""...*  😡 https://t.co/gM9ev7mggR"
yosi_shahbar,"תראו אותו...
ככה נראה איש שבטוח 
שמותר לו הכל...

מותר לו למנות את המאהבת שלו לשרה ולחברת כנסת 
תמורת שרותי מין.

מותר לו לגזול ממשטרת 
ישראל 4 מיליון שקל 
בפרשת המימד החמישי.

מותר לו להעביר את כלל סודות מדינה (הקניין הרוחני )למרגל רוסי  ויקטור
וקסלברג בפרשת המימד החמישי.

מותר… https://t.co/gO0TZmqgit"
yosi_shahbar,"חחחחחח
בית המשפט הוציא צו איסור פירסום על מתקפת הפתע שהחמאס ביצע.
אתם מבינים...
צו איסור הפרסום  נגד היהודים. https://t.co/UrrgYSyWku"
yosi_shahbar,"סיפור תל אביבי אופייני.
יותר נכון...צפון תל אביבי.
יותר נכון פרוגרסיבי תל אביבי
אלה המפגינים בקפלן.
ואני% 💯 תל אביבי... https://t.co/9d7S9F3x4X"
yosi_shahbar,"מביש.
ככה היו עושים ליהודים בגרמניה הנאצית.
ככה היום עושים ליהודים במדינת ישראל בארץ ישראל. https://t.co/N0eX4o49b6"
yosi_shahbar,"אבא.
אבא כותב: הבן שלי המלאך הלוחם הגיבור יובל זילבר נפל בעזה.
אלוקים לא לוקח מאף אחד, הוא רק נותן לזמן קצוב מראש!
צוואתו של יובלי שלי: ואהבתך לרעך כמוך, המשיכו לחיות, ליצור, לחלום, לצחוק ולאהוב!
מבקש שתשתפו לזכרו של הבן היקר שלי אהוב ליבי וגיבור ישראל יובלי זילבר!!
יהי זכרו… https://t.co/tKLVbKk07K"
demokratya11,"משה רדמן חוטף נוקאאוט בבחירות לרשויות המקומיות. 

הרווח בין הדימיון למציאות ניכר עד מאד😇 https://t.co/izl6OasaRi"
yosi_shahbar,"שוב פעם.
מסתננות אריתריאיות ביצעו 
לינץ' בנערה בקניון עזריאלי... https://t.co/zBrqBDj1kC"
yosi_shahbar,"ברק חירם על הגריל
בהוראת האמריקאים בשל 
הריסת האוניברסיטה בעזה,
הרמטכ""ל תפר תיק  לגיבור ישראל ברק חירם.
שבסופו רשם לו הערה פקידות שפירושה חיסול 
הקריירה הצבאית.

הרמטכ״ל הלוי
הנחה לרשום הערה פיקודית לחובתו של תא״ל ברק חירם, מפקד אוגדה 99, 
בעקבות אירוע שקרה במהלך הלחימה בתמרון… https://t.co/f3CVrSPqjU"
demokratya11,לא רואה בעיניים תותח https://t.co/ODPjztYhXn
yosi_shahbar,"ארז תדמור.
איך?
איך ארז תדמור לא נבחר 
לרשימת הליכוד בכנסת?
זה כאילו מסי מגיע לפועל 
כפר סבא והם לא מעלים 
אותו בהרכב משיקולים זרים.
האיש חכם בטרוף.
האיש, איש ליכוד על מלא.
האיש פרקטי.
בתוכניות הרדיו בהם הוא 
משובץ לרוב...
אני מרגיש שהוא מדברר
אותי...
אם אנשים כמו ארז תדמור 
לא… https://t.co/zGLhiihvdA"
demokratya11,@freyisrael1 הסמול מקבל כסף על כל ציוץ לטובת מחבלים
yosi_shahbar,"דרמה בתיק הצוללת.
פרקליטו של מיקי גנור חושף...
בן כספית שימש כסוכן משטרתי וניסה בכל כוחו להדיח את מיקי גנור לשמש עד מדינה נגד נתניהו 
הפרשה נחשפה בהאזנת סתר. https://t.co/oRninkS9rw"
yosi_shahbar,"חם מהתנור.
מקורות בסוריה מדווחים  שרמדאן מוחמד דאווה בדרגת אל״מ נהרג ממטען שהוצמד לרכבו באזור קונייטרה https://t.co/pVC7qrDWy8"
demokratya11,מר בנימין נתניהו היקר תודה על כל מה שאתה עושה למען כולנו העם אתך ❤️❤️❤️❤️❤️❤️❤️❤️❤️ @netanyahu @YairNetanyahu @ariyederi https://t.co/8hpa51vfkq
yosi_shahbar,"החלאה 
המשפטית לישראל מעכבת את איטום בתי המחבלים שביצעו אמש את הפיגוע בירושלים וזאת משום שלדבריה *יש לבדוק אם למשפחת המחבלים יש היכן להתגורר במקום*. https://t.co/DfIfKqbLtP"
yosi_shahbar,"אני מתעב את האיש.
למה?
ככה. https://t.co/ZX6gq4XEqH"
yosi_shahbar,"חדש.
צפו,בחשודה בתקיפת אידית סילמן. https://t.co/C7IY0nYGXn"
yosi_shahbar,"בוםםםם.
נתניהו אשם!
נתניהו לא העיר את הרמטכ""ל, את ראש השב""כ 
ואת ראש אמ'ן ואת אלוף הפיקוד.
לא פיזר את המסיבה.
לא ביצע כוננות עם שחר.
לא העיר את כיתות הכוננות.
לא ידיע את המוצבים.
זה באחריותו להשכים אותם כל בוקר. https://t.co/b6MOuON6Td"
demokratya11,הידעתם ??? https://t.co/c6BwdfCR8p
yosi_shahbar,"@lediroir אחד שתיים שלוש
חסימה."
yosi_shahbar,"המוקיון.
זה נראה לכם נורמלי?
זה שר בטחון?
זה נראה לי מוקיון. https://t.co/MJn6QVZUzu"
yosi_shahbar,"תדהמה.
אורי קנר 
העד בפרשת הצוללות...
""החקירה בתיק הצוללות 
התבססה על התחקרים של רביב דרוקר"".
כאילו מה אני אמור להבין 
שרביב דרוקר שקרן?
היעלה על הדעת שדרוקר שקרן? https://t.co/A5QKIcJ7oM"
yosi_shahbar,"לפנתיאון.
תת אלוף מיל כליפה. https://t.co/hD9OdLVHTE"
demokratya11,@AidaTuma אתם אוכלים פה חיים פה נהנים פה ומקללים על מי שדואג לכם לחיים טובים זה חייב להשתנות
yosi_shahbar,"בוחרי יאיר לפיד
קחו הכנתי לכם. https://t.co/jx719domHG"
yosi_shahbar,"נחשף.
קצין הכנסת חשף 
גלעד קריב הדליף מוועדת החוץ והבטחון של הכנסת לעתונאי מידע מסווג מדיון 
בהשתתפות נתניהו.
יור הכנסת אוחנה פנה ליועמשית  בדרישה לפתוח בחקירה. https://t.co/Cpjso52EVO"
yosi_shahbar,"שתדעו לכם.
הממשל האמריקאי בחר 
בקפידה כל אחד ואחד 
מחברי המטכ""ל בצהל.
הוא בחר בקפידה את ראשי המוסד.
הוא בחר בקפידה את ראשי השב""כ.
הוא בחר בקפידה את מפקדי 
חיל האוויר בהם מפקדי הטייסות.
לא פלא...
שלמרות שהליכוד עשרות שנים בשלטון אף אלוף משמעותי לא הצטרף לליכוד 
אף ראש שרות ביון…"
yosi_shahbar,"תראו אותו...
זהו האיש העומד מאחורי 
בובת הגרב בני גנץ.
כולו נופת צופים.
כשמגרדים את העטיפה 
קולטים שמדובר באיש 

ציני חסר עכבות.
ולמה?
האם הוא יודע שמדובר בבור של טומאה?

האם הוא יודע שגנץ נאף עם אשת איש ששימשה עוזרתו האישית ובכדי לקנות את שתיקתה מינה אותה לחברת כנסת ומאוחר יותר… https://t.co/zMH0RXcTG1"
yosi_shahbar,"@SAzrayev זה פלילי.
לעשות שימוש בקונטציות מיניות עם ילדים."
yosi_shahbar,"נחשף.
ניר דבורי
חשף את גיא פלג. https://t.co/LOfY3kdoqM"
yosi_shahbar,"נטע לי שם טוב...
נדחקה מערוץ 12 בגלל שלא סיפקה את הסחורה לראשי הערוץ כפי שמצופה ממנה.
מה זה אומר על שאר עובדי הערוץ?
שהם כתבלבי חצר עלובים. https://t.co/WQD76ybVWU"
yosi_shahbar,"נציגת משפחות החטופים.

 סינוואר הוא לא הבעיה. https://t.co/7vJSg1LegY"
yosi_shahbar,"תראו אותם...
ככה נראים חלאות ,מדושנים 
מעונג של פנסיית תקציבית.
שכל הוויתם לייצר ריב ומדון 
בתוך עם ישראל תוך שהם חולבים את הקופה הציבורית עד תום. https://t.co/dHTXTs2dK4"
demokratya11,@igal_malka_5G החתול שומר על החלב מדהים כמה הכל רקוב כאן חבל על הילדים שלנו שאלה הם מנהיגיו במערכת הביטחון הכי מושחתת ופוליטית בעולם
yosi_shahbar,@yigalon אל תפנה אלי עוד הפעם.
demokratya11,אין דבר https://t.co/kyaS36HOai
yosi_shahbar,"הפדופיל והמרגל.
עו”ד אסף שמואלביץ’ (31) הוא המרגל ג’יימס בונד שחדר לחדרים סגורים בצה”ל והעביר מידע לבכיר ממחאת קפלן ולאמא שלו
השניים ממומנים עלי ידי 
הפדופיל אהוד ברק.
=================

עו”ד אסף שמואלביץ בן 31 הוא המרגל שיש צא”פ על שמו ורק לאחר 4 חודשים פורסם נוסח מצונזר של כתב… https://t.co/zItJnM29a3"
demokratya11,פצצה תפיצו לפחות 100 רטווט אולי גנץ ילמד לענות https://t.co/MmDcdc8RL4
demokratya11,כמה שזה מטומטם אבל מציאותי במחוז https://t.co/VJsP3sTSut
yosi_shahbar,"המחנך.
קריין מוחמד מג'אדלה.
על הסרטון הזה התחנך כל ילד עזתי בטרם הפך למחבל. 
אותו ילד הפך לבוגר וב7 באוקטובר נכנס לקיבוצים אנס נשים, ערף ראשי תינוקות וחטף ילדים וזקנים.
היום המחנך הזה משמש 
פרשן מדיני בטחוני פוליטי
בערוץ מתועב. https://t.co/WYxneHwDv9"
yosi_shahbar,"פרסום ראשון.
הייי שמאלנים עלובים.
שתדעו לכם...
הפטור מהפללה בוטל. https://t.co/j2S3EW0YEI"
demokratya11,תיעוד התקיפה בבעלבק https://t.co/dpsEyhJJS8
demokratya11,RT @leon__007: @GolanMay ייצוג מכובד של ישראל ! שאפו
yosi_shahbar,"סליחה על השאלה...
מישהו יודע למה שקמה ברסלר תובעת את טלי גוטליב?
מה טלי אמרה שהרגיז את שקמה ברסלר?
 @TallyGotliv
 @ShikmaBressler https://t.co/6DWdnfqPF1"
yosi_shahbar,"חחחחחחח
היי השמאלנים עלובים...
עוד 20 שנה נתניהו  בשלטון .
הוא רץ כמו בן 16.
לשתף לשתף לשתף.
שהשמאלנים יחנקו. https://t.co/sKwdknici9"
yosi_shahbar,"כל מי שפרסמו תמונות חושפניות של מאי גולן מלפני שנים רבות בעת היותה נערה צעירה כדי לבייש אותה 
לא ידעו שמחה בחייהם...
ככה פשוט.
כל ארגוני הנשים שאינם מקימים כל זעקה כנגד מעשה נבלה שכזה שלא יראו ברכה בעמלם.
ואתם, עם ישראל מימין ומשמאל שתדעו לכם...
מי שהיום עושה מעשה נואל שכזה למאי… https://t.co/09YjKRaE5H"
yosi_shahbar,"תראו אותו...

זהו החלאה שגרש את שי קלך מחיל האויר.
תתבייש לך מנוול.
לך!
לך הביתה מנוול.

בתמונה: 
המנוול יובל הראל. https://t.co/kVlOSZmk6W"
yosi_shahbar,"היי חליווה...
איך אתה ישן בלילה?
אתה חולם חלומות על תינוקות תלויים על חבל כביסה?
על נשים משופדות באיברי המין שלהם?
במו ידיך אתה וחבריך למטכל  הבאתם עלינו את טבח ה7 באוקטובר.
שום יחצ""ן לא ילבין את חטאך. https://t.co/UDl3t4ZqR8"
yosi_shahbar,"ינון יקירי
ככה... אין זה, בלי זה...
זו עיסקת חבילה.
בנימין נתניהו זקוק לשרה לידו כמו אוויר לנשימה.
האיש מוקף בנחשים מכל המינים ומכל הסוגים. כל יועציו מונעים מאינטרסים 
אישים יען כי פרנסתם תלויה בדבר...
רק מזכיר, 3 מהם הפכו לעדי מדינה.
היא בסך הכל מסננת אותם.
ולכן אפשר להבין את… https://t.co/zcCUQJkdCc"
yosi_shahbar,"פרשת המרגל.
עדיין לא ברור לי מדוע הפרקליטות ניסתה לתפור 
תיק פלילי לחבר הכנסת אלמוג כהן?
על מי החלאות מחפים?
מי נבהל?
על מי הפרסום מאיים?
מי קיבל את ההחלטה להזמין 
את אלמוג כהן לחקירה?
ברור לי שזה עבר על-ידי היועמשית...
מי הסית אותה? https://t.co/mB8Zr6iR2s"
demokratya11,"RT @demokratya11: *עד חולת נפש אלקקק פרופ' נדירה שלהוב-קיבורקיאן מהאונ' העברית: את הציונות  צריך למגר. היה אונס ב-7 לאוקטובר? ""ישראל תמיד מ…"
demokratya11,"העובדה שאנשים שקוראים ל""בחירות עכשיו"" מתלוננים שסער ""עוסק בפוליטיקה בזמן מלחמה""
מבדחת כמעט כמו הקריאה לשיוויון בנטל מצד אנשים שלפני רגע סרבו לשרת בצהל."
yosi_shahbar,"בוםםםם.
לפיד ימסור הערב הצהרה 
מיוחדת בשעה 19:00.

גורמים בסביבת לפיד 
מספרים שלפיד ימסור 
שהוא בעד התוכנית הצרפתית שהגיש מקרון 
לנשיא לבנון  שעיקרה 
כתב כניעה ישראלי לחיזבאללה.
ובתמורה
חזבאללה יסיג את כוחותיו, כולל לוחמי כוח רדוואן עם כל היכולות הצבאיות שלו, 10 ק״מ מהגבול (ולא… https://t.co/XJM5cVj6D8"
demokratya11,לא התפטר נזרק קיבינימט https://t.co/7DbFS5FUGI
demokratya11,בושה וחרפה חתרן https://t.co/FPBD1Y5tgr
yosi_shahbar,"RT @shlomopolak580: סיפור גבורתו של סמל ירון שי!!
ירון הגיבור נהרג בשמחת תורה בקרב הרואי של גדס""ר הנח""ל בכרם שלום. ירון נלחם יחד עם 2 חברים…"
demokratya11,האם ביבי יודע על זה ואישר ????? https://t.co/dmsCmXtA8d
yosi_shahbar,"זאת שעת רצון.
ראש הממשלה צריך להזמין את ליברמן ואת סער לקבינט המלחמה...
גנץ ואייזנקוט לא יוכלו לשאת את הבושה וינטשו את הממשלה...
להניח לכיבוש רפיח בחודשים הקרובים עד להתארגנות הנמל בעזה 
ובמקביל לפתוח במלחמה נגד החיזבללה בצפון עד להכרעת החיזבללה...

עוד נחזור לרפיח בהמשך."
yosi_shahbar,"בזמן החלפת כרטיסי הSIM על ידי מחבלי החמאס, ראש אמ""ן אהרן חליווה לא טרח אפילו לקיים הערכת מצב.
דם הנרצחים מרוח על ידיו
של אהרון חליווה. https://t.co/nUL9DC81EY"
yosi_shahbar,"בתאכל'ס
מגיע לאיל ולדמן פרס ישראל.
כל מי שיודע לארגן קוקטלים 
בשעת מלחמה למען עם ישראל בפנטהאוז שלו ראוי 
לקבל פרס ישראל.
איל ולדמן ראוי לקבל פרס ישראל פי 1000 מרחל מאופקים.
למה מי היא רחל מאופקים?
כולה רחל... https://t.co/EKQarcXDlQ"
demokratya11,@PreisMeir אחריות כוללת כן מעצם תפקידו ואגב לא זכור לי שרבין או פרס לקחו אחריות על אסון אוסלו והתפטרו
yosi_shahbar,"במקרה.
ממש במקרה....
האלוף שלמה ינאי חבר בוועדת מירון הוא הבעלים של בירה אלכסנדר ביחד עם הפטרון  של מפלגת יש עתיד תת אלוף הלל קוברנסקי 
ביחד עם הטייס אלוף משנה אורי שגיא שסילק את שי קלך מהבור של חבר האוויר. 
נשבע לכם שזה במקרה.
במקרה.
ממש במקרה.
יאיר לפיד בהיותו שר האוצר
העביר… https://t.co/RaEdKtXUcO"
demokratya11,RT @daniel1212121: @GolanMay אני גאה להיות אישה בישראל שאת שרה למעמד האישה !
demokratya11,חברים בשעה טובה האמת יוצאת לאור ניסיון ההפיכה ע״י פרקליטות פוליטית סמולנית התרסקה על האף https://t.co/ZxXM1dOBOg
demokratya11,חברים כבוד גדול ❤️❤️❤️ @bardugojacob https://t.co/6h1kYk4jz7
yosi_shahbar,"נאסרללה צודק.
התקשורת בישראל בזויה
ומתועבת ובמיוחד תבוסתנית. https://t.co/SxZhc663ni"
yosi_shahbar,"לעניות דעתי...
רק ערוץ מתועב יכול לתת במה 
לאיש תקשורת מתועב לדבר דברים מתועבים. https://t.co/yvwjp3FmEx"
yosi_shahbar,"ביקור בלנקין...
בלינקן הוא כמו בלעם בן בעור.
כל ביקור שלו בישראל 
הוא קללה...
לעולם לא בא עם מתת.
תכלית ביקרו מניעת השמדת החמאס.
לא זאת אף זאת...
הוא מתנה את את אספקת סיוע כלכלי וצבאי כדי להשיג 
אינטרסים אמריקאים באזור.
בימים רגילים זה הגיוני.
בעל המאה הוא בעל הדעה.
לא בימים… https://t.co/3HKQh7BdZv"
yosi_shahbar,"@LiorTestg בכלל לא.
זה מראה שהיה מרד בצבא 
ומידרו את נתניהו."
yosi_shahbar,"2
מכת ברק.
ההפיכה.
איך הגענו עד הלום?

את המחאה תיעל ברק באמצעות מאות מיליוני שקלים ליצירת לחץ ציבורי רציף ומאיים כנגד כל גורם אפשרי בימין.

המחאה תפסה תאוצה והתמקדה בשני נושאים: פגיעה בזהות היהודית ששיאה הגיע ביום הכיפורים וקריאה לסרבנות שירות נרחבת ששיאה הגיע בספטמבר בסוכות. שם…"
yosi_shahbar,"רבותי מהפך.
היום חל מהפך.
השמאלנים שותקים.
משהו קרה להם.
בדרך כלל בשבת הם משתוללים.
ישנתי 3 שעות שנ""צ
התעוררתי...
וכלום...
אין אך שמאלני בפיד.
מה עושים?
מצ'עמם בלי אידיוטים שימושים."
yosi_shahbar,"פרס ישראל.
למי מגיע פרס ישראל ?
לאייל ולדמן או לרחל מאופקים?
אחד קיבל ולקח קיבל ולקח. ממדינת ישראל. 
והשנייה רק נתנה..ונתנה ונתנה לעם ישראל ולמדינת ישראל. https://t.co/vbglStwQXK"
demokratya11,משטרת ישראל לטיפולכם @IL_police
yosi_shahbar,"המרד בעיצמו.
הדרג הצבאי מורד בממשלה.

פעולה ברפיח? 

ראש הממשלה ביקש לגייס מחדש כוחות מילואים ששוחררו לקראת פעילות צה""ל בעיר שבדרום הרצועה. רב-אלוף הרצי הלוי: ""נדע לעמוד בכל משימה, אבל יש היבטים מדיניים שצריכים להיות מטופלים קודם"".
 
מחלוקת בין הדרג המדיני והצבאי סביב הפעולה… https://t.co/zyaoH1qZ4M"
yosi_shahbar,"RT @AyalaHasson: היום אני מפרסמת שבתחילת השיחה לחיתוך המצב ב7/10 שנערכה בארבע לפנות בוקר שאל הרמטכל: ""האם ראש אמ""ן (חליווה) על הקו""?
הוא נע…"
yosi_shahbar,"ההתפטרות והדחייה.

בשמחת תורה בהוודע המחדל המודיעיני החמור, ראש השב""כ רונן בר ביקש להתפטר מתפקידו כראש השב""כ. ראש הממשלה בנימין נתניהו סירב לבקשתו להתפטר. 

בנוסף, כשראש השב""כ הבין שיש סיכוי לפלישה חלקית וכיבוש כמה ישובים, הוא שלח צוות לחלץ שתי בכירים בשב""כ. למרות זאת, הוא לא… https://t.co/vp8tMy9fpb"
yosi_shahbar,"תראו אותה 
ככה נראית חלאה משפטית 
צהלית 
שמהלכת אימים על חיילי צהל ובכך מוציאה דיבת הארץ רעה...

האלופה יפעת תומר-ירושלמי, שלחה היום (רביעי) איגרת למפקדי צה""ל, שבה התייחסה למקרים ולמעשים של חיילי צה""ל במהלך הלחימה, שחוצים לדבריה את הרף הפלילי.

תומר-ירושלמי ציינה כי הלחימה בשטח… https://t.co/tFMjsjBs96"
yosi_shahbar,"ערוצי התבהלה 
מלקקים את הפצעים 
הם הציפו את האולפן בלשלשת  מהחלטת ועדת מירון להחריג את נתניהו בשל היותו נבחר ציבור.
והם מבכים את מר גורלם.
עכשיו הם מבינים 
שוועדת מירון היא תמונת מראה של ועדת ה7 באוקטובר לכשתקום. 
את נתניהו איפשר להוריד מהשלטון רק בקלפי...
בלי טריקים ובלי שטיקים. https://t.co/SkDqZbPsax"
demokratya11,@GalinTzur אהרון ברק קובע לסמול
demokratya11,@Israelofer סמולן מטומטם תדאג לעוף יחד עם הפושע
demokratya11,מצניחים למחבלים נשק לא רק אוכל  https://t.co/Dvp50tdXx7
demokratya11,סמולנים מאמינים לערבים התוצאות בהתאם  https://t.co/ZiNkKoxs1E
yosi_shahbar,"נחשף.
הנואף  שפילרטט עם ממשל ביידן נגד העם בישראל
שתכליתו הפסקת הלחימה 
באמצעות הקדמת הבחירות 
בישראל.
הגיע הזמן לסלק את האיש 
הנקלה הזה מקבינט המלחמה. https://t.co/XCe8acva8H"
yosi_shahbar,"השפלה היסטורית.
זהו יום היסטורי שבו אישה מנוולת כפתה את עצמה על עם שלם וביצעה מעשה בו מגונה.
החלאה הזאת שללה וביטלה למעשה את המשמעות של זכות/ חובה של הבחירה שלנו.
איזו סיבה יש לאזרח לצאת ביום הבוחר לקלפי?
היום יש רוב של קול 1 בבית המשפט העליון לשמאל.
מחר יהיה רוב של קול 1… https://t.co/mHh59Q1NQY"
demokratya11,אירגון הטרור חוגג על הדם של היהודים צריך לבטל לערבים את ״החגים״ https://t.co/uGqmwGozhD
demokratya11,@EfratFinkel ערוץ פוליטי סמול קיצוני חמור מאוד שהערוץ עדיין פעיל @shlomo_karhi @ariyederi @netanyahu @YairNetanyahu
demokratya11,חג שמח לחיות טרף @yoavgallant אתה בושה  https://t.co/uGqmwGozhD
yosi_shahbar,"פנסיה תקציבית...
שמישהו יסביר לי...
איך זה יכול להיות שמערכת הבטחון במצוקה תקציבית מטורפת בעקבות המלחמה
ואף אחד בתקשורת לא מדבר קיצוץ בפנסיות התקצביות של החונטות השולטות בישראל?
איך זה שסמוטריץ לא מציע 
לקצץ בפנסיות התקצביות.
למה הוא מפחד?
ממי הוא מפחד?
מי מחזיק  באשכים?
כן.
גם… https://t.co/rVWdJicG85"
yosi_shahbar,"חשיפה אישית.
אני מתחיל להתאהב 
בחבר הכנסת אלמוג כהן.
הוא עושה דברים גדולים 
בלי להתלהם.
וזה בלי שום קשר לעובדה 
שהוא גיבור ישראל.
@almog_cohen08
==================
ח״כ אלמוג כהן עירער לביהמ""ש העליון:
לחשוף את שמו של הקצין שנאשם בפרשת הריגול החמור בימים הראשונים למלחמה ואת שמות… https://t.co/eiR69IrKZX"
yosi_shahbar,"תנו לחיות לחיות.
במדינה דמוקרטית יש לכל 
אחת ואחד את הזכות להיות מטומטמ/ת. https://t.co/LLG2Y7YkGC"
demokratya11,"הלשכה של חמאס בעזה:
באדום - חוסלו
בכתום - שרדו ניסיון חיסול
בכחול - ברחו מחוץ לרצועה https://t.co/Ab9xV9BikE"
demokratya11,RT @demokratya11: אלופה ❤️❤️❤️
demokratya11,RT @demokratya11: @GolanMay אלופההה ❤️❤️❤️
demokratya11,הבאת לחמאס כבוד גדול ליום אחד או לנצח ימים יגידו https://t.co/h13UiVHVGk
demokratya11,@Israelofer עכשיו הרגע שיעוף כל שניה שהוא מתפקד זה אסון
demokratya11,@Israelofer הסמול חמאס בעברית
yosi_shahbar,"@ramijaschek אייזנקוט וגנץ 2 רמטכלים 
כל אחד מקבל פנסיה תקציבית של לפחות 70 אלף שקל בחודש.
ועוד שכר של חברי כנסת שרים בשווי של 60 אלף שקל.
תגיד...
אין מקום לקחת להם 30 אלף שקל?
אסתר חיות יצאה לפנסיה של 100 שקל בחודש?
איך מקום לקצץ לה 30 אלף שקל?
על מי אתה מגונן ?
אתה מגונן עליהן 
אתה לוקח…"
demokratya11,הבחור הזה @YairNetanyahu יאיר נתניהו נרדף ע״י הסמול מגיל 0 רק בגלל פוליטיקה כל חטאו שאביו ראש הממשלה הכי טוב בעולם !!! אין גבולות לסמול הרצחני https://t.co/bWRJdjjl55
